Name;TAC;CellId;earfcn;pci1;pci2;pci;prach;power;mobCtrlAtPoorCovActive
CH0001L11;12604;11;1300;167;1;502;590;0;true
CH0001L13;12604;13;3150;22;0;66;220;0;true
CH0001L14;12604;14;3425;22;0;66;220;0;true
CH0001L21;12604;21;1300;167;0;501;170;0;true
CH0001L23;12604;23;3150;22;1;67;250;0;true
CH0001L24;12604;24;3425;22;1;67;250;0;true
CH0001L31;12604;31;1300;167;2;503;120;0;true
CH0001L33;12604;33;3150;22;2;68;20;0;true
CH0001L34;12604;34;3425;22;2;68;20;0;true
